Converted?,Avg Policy Size,Grid State,Years Positive,Operating Acreage,Rain Index Variance,Distance to Nearest Customer (Miles)
0,352070,MT,8,184222.61,0.14392096,
0,,MT,15,,,
1,44923,UT,14,50538,0.25041619,
0,,OR,15,,,
0,87413,OR,10,20703,0.35122003,
1,,TX,15,,,
0,22172,TX,12,2850.74,0.38958381,
0,,MT,15,,,
0,,NM,15,,,
0,63747,WA,11,7549,0.20031418,
1,284710,ID,10,41064,0.36025016,
0,54531,UT,14,49488,0.4319024,0
0,4035,CO,11,1261,0.31306965,51.5
0,19344,TX,12,3065.11,0.48914942,
0,7578,NM,14,2266,0.7111417,15.8
0,13757,TX,11,1603.75,0.65183972,
0,113959,NM,13,50774,0.50631568,
0,28685,NM,12,9633,0.45891157,
0,55081,TX,13,9875,0.84319177,
0,26669,TX,10,3727,0.49399543,
0,25564,TX,13,2988,0.64821844,
0,2957,UT,15,1556,0.33820826,3.9
0,121169,NM,12,43621,0.63174908,
0,69036,OR,10,4438,0.31052733,
1,5205,UT,11,1294,0.45042208,
0,12461,UT,9,4093,0.42248246,
0,11560,NE,7,2489,0.27462153,
0,78332,TX,13,13454,0.75329932,
0,57787,UT,11,35622,0.61522286,
0,9885,WI,11,1858,0.17270465,0
0,92764,TX,15,15070,0.53111339,
0,192727,CA,13,30974,0.41569774,2.3
0,204682,CA,13,30805,1.11080738,
0,10860,NM,12,2654,0.72392216,23.8
0,4304,NM,11,1530,0.31372236,2.8
1,540323,TX,12,111025.37,0.70295082,
0,,AZ,15,,,
0,2938,NM,13,1025,0.75051694,
0,115370,NM,13,36053,0.45245349,
0,3353,NM,9,961,0.3479956,
0,60037,AZ,12,22410,0.55674975,9.9
0,27510,AZ,14,10231,0.31200009,
0,203275,AZ,12,66769,0.84558193,
0,35615,IA,8,2794,0.21252845,153.2
0,8952,UT,11,3786,0.37157988,2.5
0,26142,CA,12,4490,3.996461,
0,57901,ID,11,5129,0.39958001,
0,355767,NV,15,111261,0.32717064,
0,347853,NM,13,110235,1.16694464,
0,41448,MT,5,21688,0.32073318,
1,882471,CA,12,81209,0.77814631,
0,28416,NM,13,11316,0.46069033,
1,6517,AZ,12,1899,0.74771584,21.3
0,745850,CA,10,75935,0.81904678,
0,10395,CA,10,2161,0.47951923,0
0,837,UT,12,753,0.20240279,
0,48585,WY,11,25484,0.35804351,11.4
0,14633,TX,12,3576,0.42108615,29.8
0,40467,KS,11,3194,0.31850219,7.5
0,52760,OR,11,14932,0.82089472,
0,64354,NV,15,17658,0.48739787,
0,74907,WY,15,21972,0.52953403,0
0,237963,CA,13,18119.02,1.01242352,
0,90468,NV,14,45742,0.50968753,
0,2053791,TX,15,245376,0.47419245,
0,109997,TX,13,14306,0.4129467,
0,54183,NM,12,24141,0.83331936,
0,150957,CA,12,13425,0.72034502,
0,19774,TX,13,2807,0.46294686,
0,722030,NV,15,132586,0.59102384,
0,101813,CA,14,17967,0.59102384,
0,12246,NM,11,3149,0.61166214,
1,954070,TX,12,163728,0.75329932,
0,5390,ID,14,128572,0.32478229,9.9
0,598995,NM,13,182127,0.76169661,
0,1531,NM,11,595,0.40949917,0.3
0,103562,UT,12,51781,0.44043038,
0,4565,TX,13,642,0.40482156,
0,0,TX,14,5963,0.61435269,0
0,16645,CA,13,1854,0.80706535,
0,5239,NM,11,1404,0.4218751,12.2
0,17983,NM,14,6688,0.23136291,
0,11200,TX,11,2400,0.57660487,
0,74173,TX,12,9021,0.57729293,
0,55236,CA,13,4603,0.77391966,
0,445077,CA,15,111210,0.48743749,
0,137124,CA,8,13532,3.80047367,
0,29436,MT,8,10035,0.3487538,
0,1272,MT,13,640,0.30940258,17.5
0,440899,NM,14,134057,0.83092957,
0,184596,CA,11,32704,0.62728746,
0,19181,TX,11,2411,0.42764071,
0,7207,OR,12,1746,0.35948111,0
0,38792,CA,11,3383,1.05072797,
0,1076,CA,11,218,0.37053066,0.9
0,48991,AZ,13,15741,0.451313,1.6
0,,AZ,15,,,
0,36521,NM,12,10981,0.42598107,38.4
0,5796,MT,10,2335,0.41339192,0
0,77326,WA,14,10441,0.38972434,0
0,,AZ,15,,,
0,13433,MT,11,5985,0.42684844,
0,11284,NM,13,4150,0.8518817,2
0,181628,NV,14,57232,0.28647253,0
1,35784,AZ,14,10594,0.28869838,
0,42179,CO,12,20409,0.28126963,
0,4343,CA,11,1406,1.71876124,
0,1284,MT,11,640,0.3354586,10.9
0,3913,MT,12,1698,0.38293738,29.2
0,20341,MT,10,10897,0.39747647,
0,4510,AZ,13,1719,0.40920272,0
0,98017,NV,12,28094,0.44589515,
0,,WY,15,,0.29600245,
0,127674,NM,12,41038,0.43297503,
0,15010,AZ,14,6157,0.23312355,0
0,,AZ; NM,15,,,
0,322303,OR,13,96855,0.36216394,0
0,20011,MT,13,9096,0.19336056,
0,75711,NV,13,28157,0.25333295,2.4
0,40942,MT,9,20471,0.29910288,
0,49550,NV,13,14766.67,0.58203558,
0,,WY,15,,,
0,142149,CO,15,60921,0.27860098,
0,86220,KS,12,7886,0.2428143,
0,72056,KS,11,5739,0.30665614,
0,87840,OK,13,9641,0.26414482,
1,223768,NE,12,19822,0.22292228,
0,14064,NE,13,4457,0.31463422,
0,110977,MT,11,45039,0.24033107,11.8
0,21941,OK,11,2797,0.219251,
0,1709,UT,9,822,0.46760457,0
0,3828,CO,12,1511,0.32413059,
0,85209,AZ,13,38344,0.24474098,
0,30565,KS,12,2786,0.29977891,33.4
0,77342,OK,11,7946.13,0.40104877,
0,324345,TX,13,31592,0.43952961,
0,71148,OK,11,8085,0.2612909,
0,608744,NV,11,130877,0.29273424,10.1
1,5149,OK,10,713,0.24584063,
0,979260,KS,13,108272,0.51238716,
0,2493,WY,7,1320,0.19236326,29.6
0,28759,KS,12,2336,0.31450048,
0,9551,OK,12,1137,0.403623,
0,11808,ID,10,1841,0.69806219,10.7
0,19066,OK,11,2410,0.2394777,
1,9489,CA,12,1112,1.34001681,
0,1276,OK,11,160,0.28115867,
0,270787,NV,10,79126,0.39001058,
1,197518,WY,13,90697,0.44469564,
0,31682,KS,10,3066,0.24087201,
0,340759,NV,13,158084,0.53343294,
0,27104,IL,6,1619,0.17287674,0
0,871,UT,15,912,0.87450515,
0,,UT,15,,,
0,17244,OK,11,1991,0.25446457,8.3
0,,CA,15,,0.43270964,
0,48430,OK,12,5646,0.38500424,
0,303821,CA,12,61691,1.25087089,4.6
0,,CO,15,,0.35500965,
0,4466,CO,14,2237,0.31309248,0
0,18583,MT,7,9264,0.28078163,44.5
0,,CA,15,,0.85707422,
1,238698,WY,14,124900,0.42405194,
0,58268,NV,13,16388,0.74581741,
0,153502,UT,14,58539,0.50250842,
0,,KS,15,,,
0,94808,WY,13,41827,0.50997468,
1,50376,AZ,12,16636,0.50403446,42.3
0,121284,MT,10,42639,0.43110962,
1,247497,CO,15,106070,0.27860098,
0,,CO,15,,,
0,1781,OK,10,216,0.28919257,
1,318862,KS,10,31058,0.34613855,
0,6882,OK,10,748,0.39174789,
0,0,CO,15,,0.2366381,
0,4813,CO,15,2939,0.31624589,0
0,13667,OK,9,1676,0.31648088,43.3
0,88846,CO,13,33042,0.41507547,
0,443145,WY,13,284879,0.26042183,
0,28920,OK,11,3106,0.39836957,
0,9044,OK,12,1140,0.28156127,
0,87123,KS,11,8486,0.31293772,
0,30283,WY,14,15846,0.42405194,
0,57644,WY,13,31634,0.28605543,
0,6074,AZ,11,2612,1.15764461,57.5
0,12395,WY,12,2631,0.3584694,
0,8190,UT,12,11517,0.19232126,
0,37764,CO,13,14628,0.27261852,0
1,54897,WY,11,34065,0.35804351,23.6
0,14746,ID,14,2989,0.33780061,
0,45564,CA,12,3943,1.59413255,
0,3122,AZ,12,1403,0.85820644,51
0,1924,WY,8,1350,0.25939345,13.8
1,179236,NV,6,50097,0.50082359,
0,4308,NM,13,1810,0.5979931,10.7
1,96006,WY,14,39275,0.77396028,
0,,ID,15,,,
0,113,UT,13,49,0.45249553,
0,,CO,15,,0.55618902,
0,31690,CA,15,7667,1.2585446,
0,7683,CA,15,1117,0.6611748,4.7
0,,CA,15,,,
0,225086,MT,10,76734,0.83931707,
0,,UT,15,,,
0,18180,CA,12,1822,1.09589569,
0,24414,CA,13,2233,0.47241981,
0,10090,UT,14,6030,0.24812895,15.3
0,,CO,15,,,
0,11158,ID,10,2495,0.36074753,0
0,635722,UT,12,348872,0.24155285,
0,227211,CO,15,97376,0.26363462,0
0,400355,UT,12,180611,0.42078518,0
0,,WY,15,,,
0,,WY,15,,,
0,86744,CO,12,45860,0.21091458,0
0,78499,UT,15,32315,0.47064223,0.6
0,,UT,15,,,
0,,UT,15,,,
0,,NV,15,,,
0,142145,CO,10,52824,0.73649693,0.2
0,21352,CA,12,2777,1.59054874,
0,50064,NV,12,21456,0.70730348,
0,2488,CO,11,633,0.4048704,57.4
0,36029,CA,14,6358,0.59102384,
1,80921,CA,13,6344,0.53842158,
0,25060,LA,11,2882,0.19222017,22.9
1,53533,UT,14,20415,0.50250842,
0,77833,CA,10,17339,0.31341373,
0,234775,CO,15,100618,0.55618902,
0,432637,NM,15,120177,0.63290898,
0,0,CO,15,,0.48534423,
0,44296,WY,8,26228,0.45991213,
0,1476176,CA,12,210652,1.31311677,
0,6494,ID,12,1530,0.41948196,
0,60085,NE,9,11807,0.28677268,
0,2370,CO,12,1147,0.28126963,
0,56913,CA,10,5874,0.44448923,
0,,ID,15,,,
0,9610,MT,8,6144,0.2386975,672.4
0,142967,CO,14,55461.18,0.39139626,
0,33446,WY,13,15358,0.37262132,
0,23051,CA,13,2026,1.10303208,
0,,ID,15,,,
1,64539,ID,11,15698.67,0.45006495,
1,1463717,CA,11,246693.9,0.89058953,
0,32993,TX,15,4999,0.47416076,
0,89787,UT,13,59418,0.34016005,
0,,NV,15,,,
0,4332,MT,6,1918,0.38779399,19.8
0,8289,MT,11,4188,0.19075924,28.4
0,,WY,15,,,
0,168353,CA,10,16687,2.2247597,
0,3958,TN,12,685,0.14144428,
0,68052,OR,12,8701,0.21038364,1.2
0,242562,ID,10,71341.82,0.26922486,
0,417042,CO,9,173894,0.29002785,
0,,AL,15,,,
0,,SD,15,,,
0,,AL,15,,,
0,,NE,15,,,
0,,NM,15,,,
0,49133,UT,14,36245.49,0.25111925,
0,597,MS,9,79,0.21808389,
0,18936,OR,11,2125,0.24090632,
0,,PA,15,,,
0,84361,KS,10,6123,0.3336424,
0,,SD,15,,,
0,1630,MT,14,743,0.30362019,13.6
0,,MT,15,,,
0,27852,KS,11,2537.14,0.27507422,
0,15031,ND,9,2218,0.32608823,44.1
0,37978,WA,11,4804,0.34671777,116.1
0,19014,KS,11,1447.79,0.32328564,
0,136226,OR,11,16568,0.26590898,
0,168479,CA,12,10784.59,2.70765334,
0,28663,KS,9,2905,0.40461142,
0,10717,UT,15,11215,0.36092577,
0,206321,NV,12,61082,0.55439587,
0,3834,TX,11,515,0.37563869,
1,270521,NV,13,76084,0.33758978,
0,13148,NM,13,3593,0.33665228,0
0,,TX,15,,0.54799122,
0,41811,OK,11,4385.77,0.41103977,
0,35998,WY,11,20377,0.5685295,0
1,12539,TX,14,1525,0.58838518,
0,815493,NV,14,244648,0.31646621,
0,7969,UT,15,6896,0.38164086,
0,65632,NV,12,18459,0.33217425,
0,76558,UT,15,29196,0.53570719,
0,176944,UT,13,75833,0.48765866,
0,15134,UT,15,15838,0.36092577,0
0,3565,UT,14,3341,0.41209548,0
1,269905,OR,12,142891,0.39254264,
0,5782,UT,15,6051,0.36092577,
0,1146,WY,9,680,0.28295831,17.6
0,583209,CA,14,60277,8.06941777,
0,233316,TX,14,58329,2.5603974,
0,230428,TX,13,42497,0.62717849,
0,,TX,15,,,
0,127662,TX,13,38045,0.62073266,
0,32411,UT,14,39419,0.27463709,
0,103612,NV,12,44405,0.70730348,
1,10090,SD,8,3381,0.32026195,29.2
0,16071,UT,11,8144,0.39254264,0
0,16300,CA,13,1667,0.83291135,
0,57945,UT,12,30677,0.39254264,
0,24296,TX,13,7151,0.55511474,9.5
0,,TX,15,,0.61376843,
0,246009,UT,14,84507,0.53343294,
0,37925,TX,12,7901,0.730822,
0,315695,UT,15,221973,0.64366507,
0,101184,CO,13,54859,0.17233158,
0,,UT,15,,,
0,363419,TX,13,43150,0.59357092,
0,14514,TX,13,1737,0.57860649,
0,55850,TX,14,6562,0.44005535,
0,54458,TX,12,16017,0.5437875,
0,45403,TX,12,6154,0.41277358,
0,248175,CO,14,29083,0.86018599,
0,78329,WY,9,22451,0.2421052,5
0,112286,UT,15,49538,0.31865432,
0,578232,TX,15,68045,0.58838518,1
0,,NV,15,406357,0.50990004,
0,127966,NV,15,35328,0.38689601,
0,34310,UT,15,37657,0.31280187,
0,,NV,15,,,
0,,AZ,15,,,
0,124886,UT,15,92129,0.23283079,
0,917,TX,12,134,0.37985426,
0,24103,TX,11,3153,0.35909996,
0,37847,MT,11,13629,0.33443968,19.2
1,141352,AZ,13,46093,0.67902884,
1,,UT,15,,,
0,120909,CA,12,21677,0.46615281,
1,40504,TX,13,5937,0.44724518,
0,25196,TX,12,5669,0.54850407,
0,75,NM,9,32,0.40761296,
0,143223,ID,9,25176,0.46770706,
0,57682,AZ,13,18409,0.37240324,
0,,ID,15,,,
0,19095,CO,10,10474,0.2055779,0
1,160407,UT,12,60658,0.84106366,
0,71567,CO,13,32205,0.24474098,
0,22112,TX,13,3396,0.39322581,
0,58032,AZ,14,22708,0.30948286,
0,861,NM,13,376,0.29391964,
